MsgID.GLOBAL_POSITION,0.0000000,-122.3957497,37.7932817,0.1030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.6380000,-0.0042556,0.1671722,-0.1027548
MsgID.LOCAL_VELOCITY,4.6380000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932817,0.0710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.8880000,-0.0041521,0.0426545,-0.0716017
MsgID.LOCAL_VELOCITY,4.8880000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957516,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932817,0.0410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,5.1380000,-0.0041198,0.0213790,-0.0417794
MsgID.LOCAL_VELOCITY,5.1380000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957520,37.7932817,0.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,5.3880000,-0.0042556,-0.0354627,-0.0135862
MsgID.LOCAL_VELOCITY,5.3880000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932817,-0.0120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,5.6390000,-0.0042298,0.0061467,0.0126300
MsgID.LOCAL_VELOCITY,5.6390000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932817,-0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,5.8890000,0.0001617,0.0107930,0.0346457
MsgID.LOCAL_VELOCITY,5.8890000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957516,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932820,-0.0500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6.1390000,0.0303262,0.0105446,0.0505125
MsgID.LOCAL_VELOCITY,6.1390000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932809,-0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6.3890000,-0.0934943,0.0107930,0.0576388
MsgID.LOCAL_VELOCITY,6.3890000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932802,-0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6.6390000,-0.1654713,0.0082267,0.0550262
MsgID.LOCAL_VELOCITY,6.6390000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957528,37.7932805,0.0640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.3600000
MsgID.LOCAL_POSITION,6.8890000,-0.1132983,-0.0767470,-0.0649381
MsgID.LOCAL_VELOCITY,6.8890000,0.0007204,0.0018655,-1.3611927
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957525,37.7932824,0.7190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,-3.4700000
MsgID.LOCAL_POSITION,7.1390000,0.0947680,-0.0530190,-0.7191131
MsgID.LOCAL_VELOCITY,7.1390000,-0.0045027,0.0223427,-3.4768255
MsgID.GLOBAL_POSITION,0.0000000,-122.3957516,37.7932822,1.7900000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0200000,-4.4200000
MsgID.LOCAL_POSITION,7.3890000,0.0718148,0.0257708,-1.7909201
MsgID.LOCAL_VELOCITY,7.3890000,-0.0285148,0.0222144,-4.4241209
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932801,2.9150000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0100000,-4.6300000
MsgID.LOCAL_POSITION,7.6390000,-0.1544381,0.0407340,-2.9230115
MsgID.LOCAL_VELOCITY,7.6390000,-0.0343545,0.0155944,-4.6410289
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932802,4.1260000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0100000,-3.5600000
MsgID.LOCAL_POSITION,7.8890000,-0.1446722,0.0662936,-4.1395230
MsgID.LOCAL_VELOCITY,7.8890000,-0.0234686,0.0107570,-3.5288372
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932815,4.7350000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0100000,-0.9400000
MsgID.LOCAL_POSITION,8.1400000,-0.0046506,-0.1224128,-4.7355356
MsgID.LOCAL_VELOCITY,8.1400000,-0.0220522,0.0101078,-0.9478073
MsgID.GLOBAL_POSITION,0.0000000,-122.3957527,37.7932817,4.7060000
MsgID.LOCAL_VELOCITY,0.0000000,0.1700000,0.0100000,1.1900000
MsgID.LOCAL_POSITION,8.3900000,0.0266005,-0.0704658,-4.7066240
MsgID.LOCAL_VELOCITY,8.3900000,0.1752537,0.0114021,1.1960597
MsgID.GLOBAL_POSITION,0.0000000,-122.3957528,37.7932815,4.3330000
MsgID.LOCAL_VELOCITY,0.0000000,1.0800000,0.0100000,1.8500000
MsgID.LOCAL_POSITION,8.6400000,0.0047015,-0.0763641,-4.3339376
MsgID.LOCAL_VELOCITY,8.6400000,1.0879291,0.0175116,1.8587927
MsgID.GLOBAL_POSITION,0.0000000,-122.3957506,37.7932860,3.9240000
MsgID.LOCAL_VELOCITY,0.0000000,2.5700000,0.0200000,1.1700000
